"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2020","1.387,46","1.393,96","1.403,88","1.382,88","-","-0,79%"
"29.12.2020","1.398,48","1.396,52","1.405,90","1.395,08","-","0,52%"
"28.12.2020","1.391,31","1.379,64","1.396,97","1.379,64","-","0,94%"
"25.12.2020","1.378,36","1.379,84","1.384,06","1.376,62","-","0,00%"
"24.12.2020","1.378,33","1.365,31","1.378,33","1.358,22","-","0,85%"
"23.12.2020","1.366,76","1.338,20","1.367,27","1.335,76","-","1,13%"
"22.12.2020","1.351,43","1.339,03","1.359,91","1.327,89","-","1,16%"
"21.12.2020","1.335,93","1.394,52","1.394,52","1.326,65","-","-4,75%"
"18.12.2020","1.402,50","1.418,81","1.419,41","1.386,34","-","-1,18%"
"17.12.2020","1.419,22","1.407,69","1.434,65","1.407,69","-","1,37%"
"16.12.2020","1.400,05","1.399,42","1.407,86","1.388,15","-","0,69%"
"15.12.2020","1.390,46","1.387,15","1.409,26","1.382,95","-","-0,55%"
"14.12.2020","1.398,12","1.421,88","1.432,73","1.397,49","-","-1,04%"
"11.12.2020","1.412,88","1.404,78","1.413,56","1.395,77","-","0,58%"
"10.12.2020","1.404,68","1.362,07","1.404,68","1.360,06","-","2,35%"
"09.12.2020","1.372,47","1.364,46","1.382,75","1.364,46","-","0,57%"
"08.12.2020","1.364,66","1.362,32","1.375,75","1.354,75","-","-0,31%"
"07.12.2020","1.368,86","1.352,22","1.368,86","1.341,40","-","0,85%"
"04.12.2020","1.357,39","1.342,06","1.358,63","1.342,06","-","1,34%"
"03.12.2020","1.339,41","1.336,84","1.339,41","1.321,42","-","0,30%"
"02.12.2020","1.335,44","1.308,61","1.335,44","1.305,87","-","1,86%"
"01.12.2020","1.311,05","1.283,56","1.312,69","1.283,56","-","2,27%"
"30.11.2020","1.281,97","1.300,14","1.300,14","1.281,00","-","-1,57%"
"27.11.2020","1.302,43","1.303,47","1.306,01","1.291,17","-","-0,36%"
"26.11.2020","1.307,14","1.310,04","1.316,57","1.298,60","-","0,41%"
"25.11.2020","1.301,83","1.298,86","1.309,54","1.287,36","-","1,14%"
"24.11.2020","1.287,12","1.270,34","1.288,71","1.265,88","-","2,41%"
"23.11.2020","1.256,81","1.267,92","1.287,36","1.255,80","-","-0,47%"
"20.11.2020","1.262,69","1.263,65","1.269,02","1.256,21","-","0,30%"
"19.11.2020","1.258,91","1.270,45","1.270,45","1.251,53","-","-1,40%"
"18.11.2020","1.276,75","1.258,77","1.282,07","1.253,23","-","1,45%"
"17.11.2020","1.258,46","1.274,26","1.276,81","1.246,71","-","-0,80%"
"16.11.2020","1.268,61","1.243,10","1.268,61","1.243,10","-","3,33%"
"13.11.2020","1.227,78","1.224,72","1.233,84","1.218,52","-","-0,86%"
"12.11.2020","1.238,45","1.224,64","1.239,78","1.219,15","-","0,38%"
"11.11.2020","1.233,81","1.236,14","1.254,16","1.231,47","-","0,08%"
"10.11.2020","1.232,87","1.224,45","1.240,78","1.212,61","-","-0,28%"
"09.11.2020","1.236,30","1.187,84","1.242,24","1.187,32","-","4,92%"
"06.11.2020","1.178,28","1.163,85","1.178,28","1.151,74","-","0,64%"
"05.11.2020","1.170,74","1.121,24","1.172,14","1.121,24","-","5,65%"
"03.11.2020","1.108,15","1.077,20","1.109,71","1.077,20","-","3,63%"
"02.11.2020","1.069,33","1.062,09","1.075,12","1.039,51","-","0,26%"
"30.10.2020","1.066,60","1.078,02","1.078,37","1.056,02","-","-1,15%"
"29.10.2020","1.078,96","1.075,40","1.091,43","1.062,70","-","0,06%"
"28.10.2020","1.078,29","1.124,23","1.124,23","1.070,68","-","-4,69%"
"27.10.2020","1.131,36","1.146,56","1.151,66","1.126,60","-","-1,82%"
"26.10.2020","1.152,33","1.163,89","1.165,58","1.151,45","-","-1,01%"
"23.10.2020","1.164,06","1.154,25","1.166,51","1.149,13","-","0,76%"
"22.10.2020","1.155,24","1.143,17","1.155,39","1.137,14","-","1,03%"
"21.10.2020","1.143,42","1.145,30","1.151,94","1.136,76","-","0,24%"
"20.10.2020","1.140,69","1.130,26","1.143,82","1.123,08","-","0,49%"
"19.10.2020","1.135,12","1.131,43","1.137,07","1.128,80","-","0,20%"
"16.10.2020","1.132,80","1.137,25","1.138,87","1.121,29","-","0,05%"
"15.10.2020","1.132,29","1.156,18","1.156,44","1.128,06","-","-2,41%"
"14.10.2020","1.160,30","1.157,02","1.164,67","1.151,51","-","0,36%"
"13.10.2020","1.156,11","1.162,18","1.169,80","1.151,18","-","-0,58%"
"12.10.2020","1.162,91","1.163,09","1.169,93","1.155,85","-","-0,12%"
"09.10.2020","1.164,34","1.157,38","1.165,69","1.147,95","-","0,48%"
"08.10.2020","1.158,82","1.150,83","1.158,82","1.148,00","-","1,30%"
"07.10.2020","1.143,95","1.157,93","1.164,69","1.140,53","-","-2,11%"
"06.10.2020","1.168,56","1.163,75","1.176,58","1.157,41","-","0,92%"
"05.10.2020","1.157,86","1.152,56","1.160,54","1.144,04","-","0,85%"
"02.10.2020","1.148,07","1.157,17","1.157,17","1.134,01","-","-2,25%"
"01.10.2020","1.174,49","1.181,29","1.191,19","1.170,72","-","-0,34%"
"30.09.2020","1.178,51","1.158,75","1.182,96","1.152,94","-","1,98%"
"29.09.2020","1.155,67","1.169,84","1.172,76","1.138,95","-","-0,96%"
"28.09.2020","1.166,86","1.171,87","1.178,65","1.163,08","-","0,19%"
"25.09.2020","1.164,68","1.189,40","1.193,58","1.160,28","-","-2,04%"
"24.09.2020","1.188,98","1.187,48","1.192,67","1.172,94","-","-0,57%"
"23.09.2020","1.195,77","1.214,29","1.225,06","1.195,77","-","0,23%"
"22.09.2020","1.193,06","1.189,37","1.209,03","1.182,04","-","1,00%"
"21.09.2020","1.181,24","1.225,32","1.225,99","1.176,63","-","-3,86%"
"18.09.2020","1.228,64","1.246,67","1.250,13","1.226,48","-","-1,18%"
"17.09.2020","1.243,29","1.238,42","1.246,02","1.232,82","-","-0,68%"
"16.09.2020","1.251,86","1.252,38","1.257,92","1.243,60","-","-0,15%"
"15.09.2020","1.253,68","1.229,16","1.253,68","1.227,94","-","2,05%"
"14.09.2020","1.228,48","1.224,14","1.239,42","1.218,41","-","0,44%"
"11.09.2020","1.223,05","1.210,12","1.225,59","1.207,27","-","0,53%"
"10.09.2020","1.216,59","1.207,98","1.220,27","1.191,89","-","1,27%"
"09.09.2020","1.201,34","1.189,69","1.206,04","1.187,98","-","1,00%"
"08.09.2020","1.189,47","1.221,35","1.225,16","1.183,78","-","-2,38%"
"07.09.2020","1.218,52","1.223,75","1.230,02","1.210,21","-","-0,12%"
"04.09.2020","1.220,01","1.222,21","1.236,65","1.214,72","-","-0,26%"
"03.09.2020","1.223,21","1.234,42","1.241,28","1.216,93","-","-0,94%"
"02.09.2020","1.234,82","1.280,08","1.283,69","1.229,50","-","-3,11%"
"01.09.2020","1.274,50","1.265,70","1.282,24","1.264,85","-","1,26%"
"31.08.2020","1.258,60","1.274,05","1.286,07","1.255,34","-","-0,55%"
"28.08.2020","1.265,62","1.267,38","1.271,32","1.254,83","-","0,06%"
"27.08.2020","1.264,86","1.274,80","1.279,20","1.258,69","-","-0,66%"
"26.08.2020","1.273,24","1.271,77","1.273,24","1.256,72","-","0,48%"
"25.08.2020","1.267,16","1.284,12","1.289,33","1.265,85","-","-1,12%"
"24.08.2020","1.281,52","1.265,93","1.288,15","1.265,93","-","1,55%"
"21.08.2020","1.262,01","1.286,60","1.291,23","1.252,91","-","-0,85%"
"20.08.2020","1.272,81","1.308,75","1.308,75","1.272,81","-","-3,31%"
"19.08.2020","1.316,32","1.312,48","1.322,48","1.308,09","-","0,37%"
"18.08.2020","1.311,52","1.306,53","1.322,99","1.303,30","-","0,21%"
"17.08.2020","1.308,71","1.327,78","1.336,58","1.301,03","-","-1,14%"
"14.08.2020","1.323,80","1.328,20","1.328,20","1.306,00","-","-0,18%"
"13.08.2020","1.326,13","1.306,74","1.326,13","1.304,59","-","1,45%"
"12.08.2020","1.307,12","1.288,04","1.307,12","1.283,60","-","0,86%"
"11.08.2020","1.296,01","1.268,93","1.301,19","1.268,93","-","2,21%"
"10.08.2020","1.267,96","1.271,97","1.280,41","1.267,96","-","-0,27%"
"07.08.2020","1.271,43","1.286,37","1.286,37","1.266,85","-","-0,86%"
"06.08.2020","1.282,44","1.296,20","1.299,76","1.278,22","-","-0,99%"
"05.08.2020","1.295,27","1.265,72","1.297,97","1.265,14","-","2,79%"
"04.08.2020","1.260,16","1.264,53","1.269,81","1.246,82","-","0,22%"
"03.08.2020","1.257,42","1.235,20","1.260,47","1.234,97","-","1,86%"
"31.07.2020","1.234,44","1.250,02","1.251,57","1.232,99","-","0,17%"
"30.07.2020","1.232,35","1.265,60","1.266,81","1.226,86","-","-2,66%"
"29.07.2020","1.266,01","1.255,89","1.270,42","1.254,15","-","0,66%"
"28.07.2020","1.257,69","1.272,73","1.277,82","1.249,72","-","-0,67%"
"27.07.2020","1.266,16","1.260,32","1.276,49","1.260,32","-","0,81%"
"24.07.2020","1.255,98","1.249,86","1.258,36","1.243,54","-","-0,45%"
"23.07.2020","1.261,62","1.262,61","1.274,56","1.254,06","-","0,52%"
"22.07.2020","1.255,10","1.257,73","1.266,16","1.250,31","-","-0,37%"
"21.07.2020","1.259,72","1.242,99","1.266,48","1.242,99","-","1,93%"
"20.07.2020","1.235,85","1.214,76","1.235,85","1.205,79","-","1,62%"
"17.07.2020","1.216,17","1.213,16","1.218,32","1.209,24","-","-0,31%"
"16.07.2020","1.219,93","1.216,67","1.222,16","1.208,29","-","0,05%"
"15.07.2020","1.219,26","1.212,88","1.228,41","1.210,14","-","0,20%"
"14.07.2020","1.216,79","1.221,19","1.221,24","1.197,20","-","-1,43%"
"13.07.2020","1.234,50","1.249,86","1.257,73","1.232,99","-","-0,90%"
"10.07.2020","1.245,65","1.229,46","1.245,65","1.221,96","-","0,91%"
"09.07.2020","1.234,42","1.242,94","1.252,25","1.230,07","-","-0,89%"
"08.07.2020","1.245,54","1.240,60","1.250,44","1.238,71","-","-0,18%"
"07.07.2020","1.247,83","1.240,89","1.251,90","1.229,91","-","0,06%"
"06.07.2020","1.247,14","1.246,84","1.266,28","1.241,71","-","0,97%"
"03.07.2020","1.235,18","1.245,05","1.252,64","1.229,44","-","-1,05%"
"02.07.2020","1.248,28","1.222,73","1.250,57","1.220,84","-","2,94%"
"30.06.2020","1.212,63","1.246,93","1.250,32","1.212,63","-","-2,19%"
"29.06.2020","1.239,81","1.241,00","1.249,45","1.230,11","-","-0,56%"
"26.06.2020","1.246,74","1.268,89","1.270,36","1.236,91","-","-0,83%"
"25.06.2020","1.257,18","1.258,02","1.262,33","1.242,32","-","-1,87%"
"23.06.2020","1.281,18","1.264,34","1.282,95","1.263,77","-","1,94%"
"22.06.2020","1.256,77","1.249,47","1.258,50","1.235,16","-","0,57%"
"19.06.2020","1.249,67","1.234,88","1.259,86","1.234,88","-","1,54%"
"18.06.2020","1.230,71","1.235,27","1.242,95","1.221,20","-","-0,58%"
"17.06.2020","1.237,93","1.247,75","1.257,91","1.233,65","-","-0,39%"
"16.06.2020","1.242,72","1.243,48","1.264,12","1.236,12","-","1,73%"
"15.06.2020","1.221,60","1.214,13","1.223,09","1.196,47","-","-1,33%"
"11.06.2020","1.238,11","1.267,99","1.267,99","1.237,02","-","-3,09%"
"10.06.2020","1.277,58","1.284,27","1.288,07","1.266,02","-","-0,52%"
"09.06.2020","1.284,31","1.295,42","1.299,59","1.263,75","-","-0,34%"
"08.06.2020","1.288,71","1.287,32","1.306,27","1.278,75","-","0,23%"
"05.06.2020","1.285,78","1.266,42","1.291,00","1.265,26","-","2,26%"
"04.06.2020","1.257,31","1.295,23","1.296,34","1.252,14","-","-3,42%"
"03.06.2020","1.301,88","1.290,27","1.301,88","1.277,15","-","1,88%"
"02.06.2020","1.277,85","1.258,10","1.283,85","1.255,75","-","2,42%"
"01.06.2020","1.247,61","1.240,08","1.253,91","1.233,73","-","2,28%"
"29.05.2020","1.219,76","1.236,36","1.236,36","1.210,07","-","-1,77%"
"28.05.2020","1.241,77","1.219,22","1.241,77","1.211,85","-","2,44%"
"27.05.2020","1.212,20","1.222,91","1.234,83","1.197,78","-","-1,04%"
"26.05.2020","1.224,99","1.220,59","1.243,96","1.220,45","-","0,95%"
"25.05.2020","1.213,41","1.195,96","1.213,41","1.195,96","-","2,10%"
"22.05.2020","1.188,47","1.194,86","1.198,26","1.174,86","-","-1,48%"
"21.05.2020","1.206,28","1.226,09","1.243,27","1.196,21","-","-1,57%"
"20.05.2020","1.225,47","1.176,02","1.225,47","1.173,70","-","4,10%"
"19.05.2020","1.177,24","1.171,43","1.183,77","1.168,04","-","0,80%"
"18.05.2020","1.167,88","1.122,71","1.167,95","1.122,71","-","5,45%"
"15.05.2020","1.107,49","1.121,47","1.134,34","1.107,49","-","0,41%"
"14.05.2020","1.102,98","1.106,25","1.113,94","1.086,36","-","-0,67%"
"13.05.2020","1.110,37","1.124,29","1.132,75","1.110,37","-","-2,37%"
"12.05.2020","1.137,28","1.130,71","1.143,65","1.123,16","-","0,08%"
"08.05.2020","1.136,34","1.125,66","1.140,01","1.116,25","-","0,88%"
"07.05.2020","1.126,48","1.112,34","1.138,22","1.111,73","-","1,35%"
"06.05.2020","1.111,43","1.135,74","1.139,51","1.106,06","-","-1,92%"
"05.05.2020","1.133,16","1.117,00","1.135,40","1.115,99","-","3,07%"
"04.05.2020","1.099,42","1.111,28","1.111,28","1.080,63","-","-2,28%"
"30.04.2020","1.125,03","1.157,93","1.169,88","1.121,78","-","-1,71%"
"29.04.2020","1.144,64","1.117,72","1.147,97","1.113,89","-","3,16%"
"28.04.2020","1.109,60","1.085,86","1.125,88","1.081,09","-","2,39%"
"27.04.2020","1.083,68","1.086,06","1.099,38","1.081,49","-","0,22%"
"24.04.2020","1.081,32","1.090,46","1.103,77","1.074,06","-","-1,67%"
"23.04.2020","1.099,67","1.079,15","1.110,40","1.071,34","-","3,16%"
"22.04.2020","1.066,01","1.011,38","1.071,80","1.006,96","-","5,32%"
"21.04.2020","1.012,15","1.037,69","1.037,89","991,49","-","-5,26%"
"20.04.2020","1.068,32","1.075,22","1.079,75","1.055,71","-","-0,96%"
"17.04.2020","1.078,69","1.083,27","1.092,54","1.068,93","-","1,10%"
"16.04.2020","1.066,91","1.057,13","1.087,80","1.036,95","-","1,91%"
"15.04.2020","1.046,88","1.129,49","1.129,49","1.045,13","-","-7,62%"
"14.04.2020","1.133,23","1.133,95","1.151,65","1.127,19","-","0,73%"
"13.04.2020","1.124,97","1.142,90","1.148,58","1.118,87","-","-1,50%"
"10.04.2020","1.142,07","1.136,22","1.148,60","1.127,84","-","-1,16%"
"09.04.2020","1.155,49","1.132,27","1.170,27","1.119,82","-","3,67%"
"08.04.2020","1.114,60","1.091,53","1.114,60","1.083,50","-","1,35%"
"07.04.2020","1.099,76","1.097,82","1.122,88","1.087,08","-","1,51%"
"06.04.2020","1.083,43","1.069,66","1.090,81","1.059,31","-","3,20%"
"03.04.2020","1.049,88","1.038,92","1.070,42","1.030,64","-","1,53%"
"02.04.2020","1.034,06","1.011,80","1.038,20","983,63","-","4,69%"
"01.04.2020","987,75","990,15","995,18","977,48","-","-2,63%"
"31.03.2020","1.014,44","979,27","1.014,51","979,27","-","5,83%"
"30.03.2020","958,54","950,20","962,60","926,80","-","0,33%"
"27.03.2020","955,34","1.013,15","1.015,89","945,28","-","-6,07%"
"26.03.2020","1.017,03","986,43","1.022,02","959,31","-","3,60%"
"25.03.2020","981,69","989,49","1.027,62","943,02","-","1,70%"
"24.03.2020","965,32","929,89","978,23","929,89","-","9,23%"
"23.03.2020","883,78","889,95","916,92","860,74","-","-4,38%"
"20.03.2020","924,22","926,19","980,21","913,69","-","2,39%"
"19.03.2020","902,63","831,46","908,75","808,79","-","8,46%"
"18.03.2020","832,26","915,71","915,74","827,52","-","-10,96%"
"17.03.2020","934,66","955,12","985,24","909,92","-","-3,34%"
"16.03.2020","966,93","996,53","998,33","910,66","-","-2,50%"
"13.03.2020","991,69","958,29","1.055,49","957,19","-","2,62%"
"12.03.2020","966,40","1.042,20","1.042,20","953,64","-","-11,03%"
"11.03.2020","1.086,18","1.117,85","1.130,62","1.076,54","-","-0,73%"
"10.03.2020","1.094,18","1.149,81","1.182,08","1.055,31","-","-13,02%"
"06.03.2020","1.257,96","1.291,47","1.300,61","1.238,53","-","-4,97%"
"05.03.2020","1.323,82","1.356,00","1.363,73","1.319,15","-","-1,81%"
"04.03.2020","1.348,19","1.336,30","1.364,55","1.326,90","-","-0,72%"
"03.03.2020","1.358,03","1.336,10","1.360,28","1.320,51","-","4,19%"
"02.03.2020","1.303,47","1.332,74","1.368,63","1.275,17","-","0,29%"
"28.02.2020","1.299,69","1.359,93","1.362,43","1.279,74","-","-6,24%"
"27.02.2020","1.386,20","1.438,28","1.444,05","1.381,02","-","-5,13%"
"26.02.2020","1.461,22","1.442,87","1.464,34","1.419,26","-","1,04%"
"25.02.2020","1.446,11","1.504,06","1.506,85","1.445,76","-","-5,16%"
"21.02.2020","1.524,71","1.525,88","1.531,62","1.515,45","-","-0,72%"
"20.02.2020","1.535,81","1.546,35","1.552,04","1.535,81","-","-0,41%"
"19.02.2020","1.542,08","1.525,01","1.544,62","1.525,01","-","1,75%"
"18.02.2020","1.515,54","1.540,60","1.540,95","1.510,82","-","-1,80%"
"17.02.2020","1.543,25","1.535,16","1.546,87","1.535,16","-","0,54%"
"14.02.2020","1.534,89","1.541,28","1.550,12","1.528,22","-","-0,56%"
"13.02.2020","1.543,50","1.553,32","1.554,20","1.530,79","-","-0,90%"
"12.02.2020","1.557,44","1.542,81","1.557,93","1.541,14","-","1,16%"
"11.02.2020","1.539,56","1.509,16","1.548,27","1.509,16","-","2,37%"
"10.02.2020","1.503,95","1.517,68","1.530,04","1.495,20","-","-0,94%"
"07.02.2020","1.518,23","1.542,11","1.547,97","1.506,25","-","-1,38%"
"06.02.2020","1.539,42","1.569,33","1.579,09","1.533,83","-","-1,35%"
"05.02.2020","1.560,48","1.550,18","1.579,60","1.538,23","-","0,86%"
"04.02.2020","1.547,19","1.523,91","1.550,22","1.523,84","-","1,71%"
"03.02.2020","1.521,16","1.509,20","1.530,86","1.507,30","-","0,27%"
"31.01.2020","1.517,07","1.559,98","1.568,82","1.517,07","-","-1,78%"
"30.01.2020","1.544,55","1.565,60","1.565,78","1.544,55","-","-1,66%"
"29.01.2020","1.570,65","1.581,07","1.584,26","1.563,89","-","-0,10%"
"28.01.2020","1.572,23","1.549,47","1.572,73","1.531,60","-","1,97%"
"27.01.2020","1.541,90","1.584,97","1.584,97","1.541,90","-","-3,62%"
"24.01.2020","1.599,82","1.601,66","1.614,68","1.597,16","-","0,23%"
"23.01.2020","1.596,11","1.611,12","1.614,98","1.593,81","-","-1,04%"
"22.01.2020","1.612,87","1.635,64","1.643,19","1.612,87","-","-1,31%"
"21.01.2020","1.634,32","1.644,18","1.644,18","1.622,58","-","-0,75%"
"20.01.2020","1.646,60","1.640,50","1.651,82","1.640,39","-","0,54%"
"17.01.2020","1.637,75","1.615,15","1.641,82","1.614,90","-","1,55%"
"16.01.2020","1.612,72","1.608,93","1.618,10","1.608,64","-","0,65%"
"15.01.2020","1.602,29","1.604,03","1.615,64","1.588,73","-","-0,17%"
"14.01.2020","1.604,96","1.622,41","1.625,61","1.602,03","-","-0,91%"
"13.01.2020","1.619,73","1.612,38","1.620,17","1.608,53","-","0,31%"
"10.01.2020","1.614,69","1.602,40","1.614,69","1.594,01","-","0,81%"
"09.01.2020","1.601,74","1.597,24","1.607,28","1.590,77","-","0,80%"
"08.01.2020","1.589,08","1.567,72","1.590,21","1.563,18","-","1,32%"
"06.01.2020","1.568,35","1.560,36","1.568,35","1.549,52","-","0,27%"
"03.01.2020","1.564,18","1.554,72","1.567,86","1.553,80","-","0,99%"
"30.12.2019","1.548,92","1.549,59","1.558,24","1.545,30","-","-0,03%"
"27.12.2019","1.549,40","1.533,81","1.552,73","1.533,81","-","0,95%"
